Shop Name,Shop Code,Store ID,Channel,Area Sup,Customer Name,Customer Code,Sales Org,REGION,Channel Lv1,Channel Lv2
บริษัท มีชัย โทรทัศน์ จำกัดสาขาดีพร้อม,B000095087,Not found,DL,BKK,บริษัท มีชัย โทรทัศน์ จำกัด(สำนักงานใหญ่),B000088892,6560,BKK Central,RT,Chain Retail
บริษัท มีชัย โทรทัศน์ จำกัดสาขาพิมพา,B000095088,Not found,DL,BKK,บริษัท มีชัย โทรทัศน์ จำกัด(สำนักงานใหญ่),B000088892,6560,BKK Central,RT,Chain Retail
บริษัท มีชัยโทรทัศน์ จำกัด(สาขา ลาดกระบัง),B000093772,Not found,DL,BKK,บริษัท มีชัย โทรทัศน์ จำกัด(สำนักงานใหญ่),B000088892,6560,BKK Central,RT,Chain Retail
บริษัท มีชัยโทรทัศน์ จำกัด(สาขานิคม),B000093771,Not found,DL,BKK,บริษัท มีชัย โทรทัศน์ จำกัด(สำนักงานใหญ่),B000088892,6560,BKK Central,RT,Chain Retail
บริษัท มีชัยโทรทัศน์ จำกัด(สาขาหัวเข้),B000093773,Not found,DL,BKK,บริษัท มีชัย โทรทัศน์ จำกัด(สำนักงานใหญ่),B000088892,6560,BKK Central,RT,Chain Retail
บริษัท โมเดิร์นแอร์ จำกัด(สำนักงานใหญ่) (เซ็นทรัลพระราม 2),B000150304,Not found,DL,BKK,บริษัท โมเดิร์นแอร์ จำกัด(สำนักงานใหญ่),B000088713,6560,BKK Central,RT,Direct Retail
บริษัท โมเดิร์นแอร์ จำกัด(สำนักงานใหญ่) (สาขาเดอะมอลล์บางกะปิ),B000150288,Not found,DL,BKK,บริษัท โมเดิร์นแอร์ จำกัด(สำนักงานใหญ่),B000088713,6560,BKK Central,RT,Direct Retail
บริษัท โมเดิร์นแอร์ จำกัด(สำนักงานใหญ่) (สาขาแฟชั่นไอส์แลนด์),B000150290,Not found,DL,BKK,บริษัท โมเดิร์นแอร์ จำกัด(สำนักงานใหญ่),B000088713,6560,BKK Central,RT,Direct Retail
บริษัท สยามวรจักรอีเล็คตริค จำกัด (สำนักงานใหญ่),B000088729,Not found,DL,BKK,บริษัท สยามวรจักรอีเล็คตริค จำกัด(สำนักงานใหญ่),B000088729,6560,BKK Central,RT,Direct Retail
บริษัท นิวศรีทองไฮเทค จำกัด,B000088732,Not found,DL,BKK,บริษัท นิวศรีทองไฮเทค จำกัด,B000088732,6560,BKK Central,RT,Direct Retail
ห้างหุ้นส่วนจำกัด นิว-มหาชัยโทรทัศน์HQ,TSP000587,Not found,DL,BKK,ห้างหุ้นส่วนจำกัด นิว-มหาชัยโทรทัศน์,B000088882,6560,West&East,RT,Direct Retail
บริษัท สามตะวัน อีควิปเม้นท์ จำกัด,B000088983,Not found,DL,BKK,บริษัท สามตะวัน อีควิปเม้นท์ จำกัด,B000088983,6560,BKK Central,RT,Direct Retail
บริษัท สิทธิโชติแอร์ จำกัด (สำนักงานใหญ่),B000089241,Not found,DL,BKK,บริษัท สิทธิโชติแอร์ จำกัด(สำนักงานใหญ่),B000089241,6560,West&East,WS,AC Special Shop
บริษัท สินเมืองทอง อีเลคทริค จำกัด(สำนักงานใหญ่),B000088726,Not found,DL,BKK,บริษัท สินเมืองทอง อีเลคทริค จำกัด(สำนักงานใหญ่),B000088726,6560,BKK Central,RT,Direct Retail
ห้างหุ้นส่วนจำกัด นิวไฮเทค,B000088715,Not found,DL,BKK,ห้างหุ้นส่วนจำกัด นิวไฮเทค,B000088715,6560,BKK Central,RT,Direct Retail
ห้างหุ้นส่วนจำกัด รวมทรัพย์พานิช 169สาขาสามเงา,TSP000294,Not found,DL,N1,ห้างหุ้นส่วนจำกัด รวมทรัพย์พานิช 169,B000089279,6560,North,RT,Direct Retail
บริษัท ชุมการค้าอิเลคทริค จำกัด. (สาขาอิเล็คทริคมอลล์ ),B000139610,Not found,DL,N1,บริษัท ชุมการค้าอิเลคทริค จำกัด.,B000088902,6560,North,RT,Direct Retail
บริษัท เชียงใหม่สยามทีวี จำกัด (สาขารวมโชค สาขาที่ 00010),B000153857,Not found,DL,N1,บริษัท เชียงใหม่สยามทีวี จำกัด,B000088425,6560,North,RT,Chain Retail
บริษัท นิยมพานิช จำกัดสาขาสันป่าตอง,B000095783,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่) (เจริญฮอด),B000126298,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่) (่สาขาลำพูน สาขาที่ 00003),B000095785,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่)สาขาBig C,TSP000010,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่)สาขาตลาดสนามบิน,TSP000128,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่)สาขาทิพย์ช้าง,TSP000137,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่)สาขาพระเจ้าทันใจ,TSP000216,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
บริษัท นิยมพานิช จำกัดสาขาฝาง,B000095784,Not found,DL,N1,บริษัท นิยมพานิช จำกัด(สำนักงานใหญ่),B000088444,6560,North,RT,Direct Retail
ห้างหุ้นส่วนจำกัด นิวสันติ เซลส์แอนด์เซอร์วิส,B000088472,Not found,DL,N1,ห้างหุ้นส่วนจำกัด นิวสันติ เซลส์แอนด์เซอร์วิส,B000088472,6560,North,RT,Direct Retail
บริษัท สหธานีมาร์เก็ตติ้ง จำกัด,B000093927,Not found,DL,N2,บริษัท สหธานีมาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088451,6560,North,RT,Chain Retail
บริษัท สหธานีมาร์เก็ตติ้ง จำกัด,B000093928,Not found,DL,N2,บริษัท สหธานีมาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088451,6560,North,RT,Chain Retail
